seed,target_block,completed,extracted,collapsed,steps,return,target_displacement,full_extraction_distance,neighbor_motion,stability_score,contact_steps,max_non_target_tool_contacts
0,"(1, 0)",True,True,False,4,20.727572208505645,1.2471517324447632,0.23908000000000001,0.00038586914888583124,0.995708550829177,3,0
1,"(4, 1)",False,True,True,7,-6.747384799012611,0.23224931955337524,0.23908000000000001,0.14896360039710999,0.08090873115385883,6,4
2,"(2, 1)",True,True,False,13,20.37608722644458,0.5365107655525208,0.23908000000000001,0.0104525713250041,0.9314511629730212,4,8
3,"(3, 1)",True,True,False,5,20.51662852044875,0.4616732895374298,0.23908000000000001,0.00035053148167207837,0.9968924478771657,3,0
4,"(3, 1)",False,True,False,120,287.32005534061153,0.2552795112133026,0.23908000000000001,0.04711421951651573,0.8219701415610081,4,16
5,"(3, 1)",True,True,False,5,20.53250825173519,0.6317676305770874,0.23908000000000001,0.010365249589085579,0.9668424309510574,3,0
6,"(3, 0)",True,True,False,4,20.68659717379634,1.1051106452941895,0.23908000000000001,0.0001392260892316699,0.998359520791186,3,0
7,"(3, 2)",True,True,False,5,20.26472254237066,0.417421817779541,0.23908000000000001,0.0001252683432539925,0.9985028257208326,3,0
8,"(2, 2)",True,True,False,5,20.038442290198795,0.4806939363479614,0.23908000000000001,0.00014439888764172792,0.998568978603332,2,0
9,"(4, 2)",True,True,False,5,19.656954858795913,0.5425114035606384,0.23908000000000001,0.07323995977640152,0.6023206749886244,3,0
10,"(2, 0)",True,True,False,14,22.105167987047643,0.6663708090782166,0.23908000000000001,0.00541762774810195,0.9639399729894327,14,8
11,"(4, 2)",True,True,False,5,20.573847809930626,0.725071132183075,0.23908000000000001,0.00031070836121216416,0.9984522403813749,2,0
